Reservoir,Date,Live_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
Tungabhadra,2014-01-15,45.95,1615.09,0,6341
Tungabhadra,2014-01-16,45.29,1614.8,0,4824
Tungabhadra,2014-01-17,44.64,1614.51,0,4644
Tungabhadra,2014-01-18,43.98,1614.22,0,4504
Tungabhadra,2014-01-19,43.34,1613.93,0,4504
Tungabhadra,2014-01-20,42.68,1613.63,0,4504
Tungabhadra,2014-01-21,42.03,1613.33,0,4892
Tungabhadra,2014-01-22,41.17,1612.93,0,7070
Tungabhadra,2014-01-23,40.3,1612.52,0,7070
Tungabhadra,2014-01-24,39.44,1612.11,0,7070
Tungabhadra,2014-01-25,38.79,1611.79,0,4961
Tungabhadra,2014-01-26,38.18,1611.49,0,4705
Tungabhadra,2014-01-27,37.57,1611.19,0,4651
Tungabhadra,2014-01-28,36.99,1610.9,0,4531
Tungabhadra,2015-01-15,57.95,1619.9,0,8280
Tungabhadra,2015-01-16,57.01,1619.55,0,8480
Tungabhadra,2015-01-17,56.08,1619.2,0,8480
Tungabhadra,2015-01-18,55.16,1618.85,0,8480
Tungabhadra,2015-01-19,54.21,1618.48,0,8480
Tungabhadra,2015-01-20,53.44,1618.18,0,6924
Tungabhadra,2015-01-21,52.68,1617.88,0,6783
Tungabhadra,2015-01-22,51.91,1617.57,0,6776
Tungabhadra,2015-01-23,51.13,1617.26,0,6776
Tungabhadra,2015-01-24,50.36,1616.95,0,6776
Tungabhadra,2015-01-25,49.64,1616.65,0,6426
Tungabhadra,2015-01-26,49.04,1616.4,0,4876
Tungabhadra,2015-01-27,48.43,1616.15,0,4776
Tungabhadra,2015-01-28,47.86,1615.91,0,4116
